dc07,Explainable Agency in Intelligent Agents,Doctoral Consortium,"Explainability of intelligent agents has gained attention in recent years with their widespread utilization in society. Most work in Explainable AI (XAI) pay little attention to the humans that interact with these models, which risks resulting in unsatisfactory explanations. Theories of explainability and the nature of explanation has been widely explored in cognitive psychology and philosophy. This  thesis aims to incorporate these insights to build explainable models and interfaces that can provide better and sufficient explanations to the interacting human.",Explainable AI; Interpretable Machine Learning; Causal Explanation,Prashan,,Madumal,University of Melbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc08,Complexity of Distances in Elections,Doctoral Consortium,"Our research investigates the influence of distances on elections and the associated problems such as bribery, manipulation, and control. Distances can be used in elections in many different ways. In the case of interference problems, distances can be used to limit
the changes or to calculate costs. At the same time, distances can themselves be used to design fair elections. Our goals here are to define appropriate frameworks and to determine the complexity of the problems with respect to approximation and parameterization.",Elections; Distances; Scoring Systems; Bribery; Manipulation,Tobias,,Hogrebe,Heinrich-Heine-Universität Düsseldorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc09,Studies on the Computational Modeling and Design of Financial Markets,,"Electronic marketplaces and the automation of trading have transformed the financial market from a human-decision ecosystem to an algorithmic one. Questions and challenges that arise from this new algorithmic ecosystem naturally lend themselves to computational approaches. My research builds computational models to understand trading behaviors, designs market mechanisms robust to manipulation, and proposes algorithms to facilitate order matchings.",Market manipulation; agent-based simulation; trading agents; mechanism design,Xintong,,Wang,University of Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc10,Conversational Narrative Interfaces for <i>Sensemaking</i>,,"This PhD thesis aims at studying the generation of dialogues within the context of narratives based on the theory of inferential pragmatics. When referring to inferential pragmatics, we consider the non-semantic elements of the meaning of statements that can be inferred from its implications. Our goal is to generate dialogue statements based on a model that integrates pragmatic context knowledge. This model aims to generate misunderstandings arising within a dialogue between a human user and a virtual agent, focusing on contextual inconsistencies.
",Dialogue Models; Social Agents; Narratives; Speech Act Theory; Pragmatics,Andreea-Oana,,Petac,École Nationale d'Ingénieurs de Brest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc11,Bridging the Gap Between High-Level Reasoning in Strategic Agent Coordination and Low-Level Agent Development,,"Recent advances in fields such as computer vision and natural language processing have paved the way for developing agents capable of automatically interpreting their surrounding environment. Concurrently, advances in artificial intelligence have made the coordination of many such agents possible. However, there is little work considering both the low-level reasoning that allows agents to interpret their environment, such as deep learning techniques, and the high-level reasoning that coordinates such agents. By considering both together, we can better handle real-world scenarios, for example by planning at a high level with low-level uncertainty in mind, or even by improving low-level processing by using high-level reasoning to place the agent in the best scenario for success.",security games; computational sustainability; uncertainty; sensors,Elizabeth,,Bondi,University of Southern California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc12,Enhanced Learning from Multiple Demonstrations with a Flexible Two-level Structure Approach,,"Learning from demonstration (LfD) has been emerged as a successful transfer learning technique to speed up reinforcement learning (RL). However, the effectiveness of the LfD heavily depends on the quality of the demonstrations. This work investigates how to enable efficient human-agent (or agent-agent) knowledge transfer and allow the RL agent to extract useful information from multiple demonstrations of different quality. In particular, we aim to avoid the effect of noise or bad examples from the collected demonstration data. Inspired by the multi-armed contextual bandit problem and Human Agent Transfer algorithm, we developed a Flexible Two-level Structured Approach to address the above challenges. Evaluated with Mario, Cart Pole and RC Car domains, the experimental results show that this approach holds the promising capacity to successfully leveraging the demonstrations of different quality.",Learning from Demonstration; Multi-Armed Bandit; Reinforcement Learning; Transfer Learning,Su,,Zhang,Washington State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc13,Aspects of Transparency in Machine Learning,,"The fact that machine learning is growing more and more entrenched in almost every aspect of society, combined with the opacity of various of its algorithms has induced the relatively young research area of transparent machine learning. The aim of this domain is to provide explanations for automated decisions to increase public trust. In my thesis, I am going to consider certain problems that arise from this research agenda. Particularly, I so far considered, the dilemma of conflicting explanations and the issue of privacy concerns arising from transparency.","Cooperative games: theory & analysis; Social choice theory; Game theory for practical applications; Values in MAS (privacy, safety, security, transparency, $dots$; Transparent Machine Learning",Martin,,Strobel,National University Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc14,Persuasive Social Robots using Social Power Dynamics,,"Social Power, the potential for social influence, is a pervasive social process in human interactions. On the other hand, recent advances on Social Robotics raise the question whether a social robot can be used as a persuasive agent. To date, different attempts have been performed using several approaches to tackle this research question. However, few studies looked at the concept of social power in Human-Robot Interaction (HRI) and how it can be beneficial to the development of persuasion skills. This is the precisely the goal of the work that is described here. In this text, we briefly report the results of our recent advancements for this objective and draw suggestion for speculating on future directions.",Social Power; Persuasion; Trust; Social Robot; Human-Robot Interaction; HRI,Mojgan,,Hashemian,INESC-ID & Universidade de Lisboa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc15,Strategic Location and Network Formation Games,,"Game theory is a powerful approach to analyze settings which result from selfish behavior. This research aims to investigate models from different game theory areas: Network Creation Games, Schellings Segregation and Strategic Facility Location. I propose extensions of the classical simple models with more realistic assumptions and to analyze these models with respect to the existence of stable states, the Price of Anarchy and convergence dynamics.",Location Analysis; Facility Location Games; Approximate Pure Subgame Perfect Equilibria; Agent-based Simulation; Dynamics,Louise,,Molitor,Hasso Plattner Institute,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc16,Improving Deep Reinforcement Learning via Transfer,Doctoral Consortium,"While achieving the state-of-the-art performance in complex sequential tasks, deep reinforcement learning (deep RL) remains extremely data inefficient. Many approaches have been studied to improve the data efficiency of deep RL algorithms. This dissertation focuses on leveraging various transfer learning techniques to tackle this problem. We first show that positive transfer can be achieved cross-domains via direct weight transfer if the two agents share a certain amount of similarities. Then we look into how could the similarity between cross-domain tasks be quantified, such that we only transfer useful information from one task to another while blocking information that might have a negative effect. The third direction we studied is the human-agent transfer mechanism, which we integrate human knowledge via supervised pre-training on a set of demonstration data collected from a human then transfer to an agent. Lastly, several future directions are proposed for the remainder of this dissertation.","Reinforcement learning; Deep learning; Learning agent capabilities (agent models, communication, observation)",Yunshu,,Du,Washington State University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc17,Novel Hedonic Games and Lottery Systems,,"We present here work on two types of matching problems, namely Hedonic Games, also known as Coalition Formation Games, and on quota-based lottery systems such as the one used in Singapore to allocate public housing.  We introduce two Hedonic Games, and investigate the computational complexity of finding optimal partitions of agents into coalitions, or finding --- or determining the existence of --- stable coalition structures. We propose a new stability notion for hedonic games and prove its distinctness from existing notions of stability. We present results from investigations into the fairness of lotteries with diversity quotas inspired by the public housing allocation system in Singapore.",Coalition formation (non-strategic); Cooperative games: computation;  Cooperative games:theory & analysis,Jacob,,Schlueter,University of Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc18,Adaptable Decentralized Task Allocation of Swarm Agents,Doctoral Consortium,"Scalable task allocation in dynamic real-world domains often requires efficient, robust, decentralized, and adaptable approaches. Response threshold reinforcement is a biologically-inspired model of probabilistic action that has been shown to lead to efficient task allocation among swarm agents that do not reason or communicate, making it a highly scalable and low cost solution. The model leads agents to specialize, resulting in reduced costs of interference and task switching, as well as to improved efficiency and adaptability to initially unknown environments. While initial specialization of this and other models is investigated in much of existing literature, subsequent re-adaptation to domain changes is seldom verified. Our goal is to investigate the robustness of response threshold reinforcement to various environmental changes, as well as to compare this model to other decentralized approaches.",agent cooperation: biologically-inspired approaches and methods; multi-robot systems; agent societies: self-organization,Vera,A.,Kazakova,University of Central Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc19,Problems in Computational Mechanism Design,,"My research area is interdisciplinary to Mechanism Design and Algorithm Design. The problems I find interesting in Computational Mechanism Design are Voting preferences, Environment protection by reducing the emission of harmful gases from automobiles, Shareable good allocation on a network and Peer grading. In this paper, I explain two of such problems and roadmaps for them. First is the domain of preferences in the voting. It is often observed that preferences are never completely arbitrary; instead, they possess correlated structures. After learning the preferences, the next main task is to aggregate them and have an outcome out of it. My interest is to explore the different domains of preferences so that we can have specific desirable properties in the social choice function. Another problem I am interested in is, to devise a mechanism which incentivises the riders to prefer to share the ride than to ride solo,
where the objective of the mechanism is to reduce the emission of harmful gases and control the pollution in the environment by reducing the total travelled distance by the vehicles. A significant challenge when addressing the problem of ridesharing is that it needs to explore a vast decision space while computing solutions fast enough to provide users with the experience of real-time booking and service.",Computational social choice; preferential domains; sampling; algorithms; Ridesharing,Garima,,Shakya,Indian Institute of technology Kanpur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc20,Intelligent Multi-Purpose Healthcare Bot Facilitating Shared Decision Making,,"Patient decision aids (PtDAs) have been promoted to facilitate personalized information retrieval and decision support; nonetheless, although promoted for more than 20 years, they have generally failed to gain a foothold in the general delivery of healthcare. Intelligent interactive agent technologies could address the design features necessary to facilitate support and shared-decision making.  In this thesis, we develop and build a PtDA for Prostate cancer using intelligent agent technology.  The proposed system, called ALAN, has a multi-layered architecture with three layers. While the first layer (User-Interface) is responsible to effectively interact with users (patients and physicians), the bottom layer (Data) handles requests regarding storing and retrieving the data. Unlike most existing bots, our core objective is to enable ALAN with learning abilities, which can evolve in the course of time and improve its behaviour with minimum distraction of the user.  To this end, reinforcement learning and deep learning algorithms are employed in the main layer, i.e., Analytical Decision Making. This research is expected to have impact on delivery of personalized healthcare.",Shared-decision making; Patient decision aids; Multi-agent systems; Chatbots; Reinforcement learning,Mohammad Mehdi,,Afsar,University of Calgary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc21,Proactive Distributed Constraint Optimization Problems,Doctoral Mentoring Program,"Current approaches that model dynamism in DCOPs solve a sequence of static problems, reacting to changes in the environment as the agents observe them. Such approaches thus ignore possible predictions on future changes. To overcome this limitation, we introduce (finite-horizon) Proactive Dynamic DCOPs (PD-DCOPs) and Infinite-Horizon PD-DCOPs (IPD-DCOPs) to model dynamic DCOPs in the presence of exogenous uncertainty. In contrast to reactive approaches, PD-DCOPs and IPD-DCOPs are able to explicitly model the possible changes to the problem, and take such information into account proactively, when solving the dynamically changing problem. The additional expressivity of these formalisms allows them to model a wider variety of distributed optimization problems. Our work presents both theoretical and practical contributions that advance current dynamic DCOP models.",Distributed Problem Solving;Distributed Constraint Optimization;DCOP,Khoi,,Hoang,Washington University in St. Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dc22,Using Social and Physiological Signals for User Adaptation in Conversational Agents,Doctoral Consortium,"In face-to-face communication, humans subconsciously emit social signals which are picked up and used by their interlocutors as feedback for how well the previously communicated messages have been received. The feedback is then used in order to adapt the way the coming messages are being produced and sent to the interlocutor, leading to the communication to become as efficient and enjoyable as possible. Currently however, it is rare to find conversational agents utilizing this feedback channel for altering how the multimodal output is produced during interactions with users, largely due to the complex nature of the problem.
In most regards, humans have a significant advantage over conversational agents in interpreting and acting on social signals. Humans are however restricted to a limited set of sensors, ""the five senses"", which conversational agents are not. This makes it possible for conversational agents to use specialized sensors to pick up physiological signals, such as skin temperature, respiratory rate or pupil dilation, which carry valuable information about the user with respect to the conversation. This thesis work aims at developing methods for utilizing both social and physiological signals emitted by humans in order to adapt the output of the conversational agent, allowing for an increase in conversation quality. These methods will primarily be based on automatically learning adaptive behavior from examples of real human interactions using machine learning methods.","Learning agent capabilities (agent models, communication, observation); Deep learning; Single and multi-agent planning and scheduling",Patrik,,Jonell,KTH Royal Institute of Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de002,NAKED: N-Ary Graphs from Knowledge Bases Expressed in Datalog±,,"In this demonstration paper, we introduce NAKED: a new generator for n-ary logic-based argumentation frameworks instantiated from inconsistent knowledge bases expressed using \datalog. The tool allows to import a knowledge base in DLGP format, generate, visualise and export the corresponding argumentation hypergraph. We show its application on a use-case from the NoAW project.",Logic-based argumentation; Datalog±; Agent reasoning,Bruno,,Yun,"INRIA GraphIK, Université de Montpellier",Madalina,,Croitoru,"INRIA GraphIK, Université de Montpellier",Srdjan,,Vesic,"CRIL - CNRS, Université d’Artois",Pierre,,Bisquert,"IATE, INRA, INRIA GraphIK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de003,ONECG: Online Negotiation Environment for Coalitional Games,,"Coalitional games can be used to model a variety of problems in the real world.In coalitional game theory, how players form coalitions and divide payoffs is one fundamental issue to be answered.This demo presents an online negotiation environment for coalitional games (ONECG), in which coalitional negotiation can be conduced in a distributed way between people, agents, or in mixed settings via offer exchange and natural language communication.ONECG also allows configuration of specifications of coalitional games, and supports the rapid development of new negotiating agents through a set of well-defined APIs.This new environment is helpful to facilitate research on training human negotiation skills in coalitional games as well as the design of negotiation agents.",Negotiation; Human-agent interaction; Coalitional negotiation games; Cooperative game theory,Siqi,,Chen,Tianjin University,Yonghao,,Cui,Tianjin University,Cong,,Shang,Tianjin University,Jianye,,Hao,Tianjin University,Gerhard,,Weiss,Maastricht University,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de005,PAPOW: Papow Aggregates Preferences and Orderings to select Winners,,"In this demonstration paper, we introduce PAPOW: Papow Aggregates Preferences and Orderings to select Winners. The tool allows for demographic filtering of voters depending on their characteristics. We show its application on a use-case from the NoAW H2020 project.",Voting Theory; Demographic Filtering; Preference Aggregation,Martin,,Jedwabny,IATE INRA & University of Buenos Aires,Pierre,,Bisquert,"IATE INRA, INRIA GraphIK",Madalina,,Croitoru,INRIA GraphIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de006,Multi-Agent Path Finding on Real Robots,,"Multi-agent path finding (MAPF) deals with the problem of finding a collision-free path for a set of agents in a graph. It is an abstract version of the problem to coordinate movement for a set of mobile robots. This demo presents software guiding through the MAPF task, starting from the problem formulation and finishing with execution of plans on real robots. Users can design grid-like maps, specify initial and goal locations of robots, generate plans using various abstract models implemented in the Picat programming language, simulate and visualize execution of these plans, and translate the plans to command sequences for Ozobots, small robots developed for teaching programming.
",path planning; multi-robot; Ozobot,Roman,,Barták,Charles University,Ivan,,Krasi&#269;enko,Charles University,Ji&#269;í,,Švancara,Charles University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de011,Deploying a Shareholder Rights Management System onto a Distributed Ledger,Demonstration,"This work demonstrates how a multi-company shareholder rights management system has been implemented using Distributed Ledger Technology (DLT). In this demo, we use a permissioned blockchain to store our corporate data, such as the list of all registered companies, each company's  shareholders and how many shares everyone holds. It is assumed that the nodes of the blockchain are controlled by the main stakeholder agents but we show that users who do not run a node can still use multiple websites to access company information. On top of this, we show our system can be used to allow any shareholder to participate in elections for company matters. Lastly, we describe how we designed our system's architecture so that it could be implemented even on a public blockchain.",Distributed Ledger Technology; Blockchain; Shareholder Rights Management,Luke,,Riley,King's College London,Grammateia,,Kotsialou,King's College London,Amrita,,Dhillon,King's College London,Toktam,,Mahmoodi,King's College London,Peter,,McBurney,King's College London,Richard,,Pearce,Crowdcube,,,,,,,,,,,,,,,,,,,,,,,,
de012,ALBidS: A Decision Support System for Strategic Bidding in Electricity Markets,Demonstration,"This work demonstrates a system that provides decision support to players in electricity market negotiations. This contribution is provided by ALBidS (Adaptive Learning strategic Bidding System), a decision support system that includes a large number of distinct market negotiation strategies, and learns which should be used in each context in order to provide the best expected response. The learning process on the best negotiation strategies to use at each moment is developed by means of several integrated reinforcement learning algorithms. ALBidS is integrated with MASCEM (Multi-Agent Simulator of Competitive Electricity Markets), which enables the simulation of realistic market scenarios using real data.",Multi-agent simulation; electricity markets; decision support systems; machine learning,Tiago,,Pinto,Polytechnic of Porto,Zita,,Vale,Polytechnic of Porto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de013,Decision Support System for Opponents Selection in Electricity Markets Bilateral Negotiations,Demonstration,"This paper presents a new multi-agent decision support system with the purpose of aiding bilateral contract negotiators in the pre-negotiation phase, through the analysis of their possible opponents. The application area of this system is the electricity market, in which players trade a certain volume of energy at a specified price. Consequently, the main output of this system is the recommendation of the best opponent(s) to trade with and the target energy volume to trade with each of the opponents. These recommendations are achieved through the analysis of the possible opponents’ past behavior, namely by learning on their past actions. The result is the forecasting of the expected prices against each opponent depending on the volume to trade. The expected prices are then used by a game-theory based model, to reach the final decision on the best opponents to negotiate with and the ideal target volume to be negotiated with each of them.",Decision support systems; bilateral negotiations; ma-chine learning; power and energy systems,Francisco,,Silva,Polytechnic of Porto,Tiago,,Pinto,Polytechnic of Porto,Zita,,Vale,Polytechnic of Porto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de014,Practical Application of a Multi-Agent Systems Society for Energy Management and Control,Demonstration,"Power and energy systems lack decision-support systems that enable studying big problems as a whole. The interoperability between multi-agent systems that address specific parts of the global problem is essential. Ontologies ease interoperability between heterogeneous systems providing semantic meaning to the information exchanged between the various parties. This paper presents the practical application of a society of multi-agent systems, which uses ontologies to enable the interoperability between different types of agent-based simulators, directed to the simulation and operation of electricity markets, smart grids and residential energy management. Real data-based demonstration shows the proposed approach advantages in enabling comprehensive, autonomous and intelligent power system simulation studies.","Multi-agent simulation; power and energy systems, semantic interoperability",Tiago,,Pinto,Polytechnic of Porto,Gabriel,,Santos,Polytechnic of Porto,Zita,,Vale,Polytechnic of Porto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de015,Computational Argumentation-based Clinical Decision Support,,"This demonstration highlights the design of the CONSULT system, a modular decision-support system (DSS) intended to help patients suffering from chronic conditions self-manage their treatments. The system takes input from multiple sources, including commercial wellness sensors and a patient's electronic health record, to inform a computational argumentation engine that constructs weighted opinions using these inputs and knowledge about their sources, and uses an interaction agent driven by argumentation-based dialogue to respond to user queries.",Argumentation; Human-agent interaction; Decision-support tool,Martin,,Chapman,King's College London,Panagiotis,,Balatsoukas,King's College London,Mark,,Ashworth,King's College London,Vasa,,Curcin,King's College London,Nadin,,Kökciyan,King's College London,Kai,,Essers,King's College London,Isabel,,Sassoon,King's College London,Sanjay,,Modgil,King's College London,Simon,,Parsons,King's College London,Elizabeth,I.,Sklar,King's College London,,,,,,,,
de016,ConCon: A Contract Conflict Identifier,,"Contracts are the main medium through which people and legal entities formalise their trade relations, be they the exchange of goods or the specification of mutual obligations. While electronic contracts allow automated processes to verify their correctness, most agreements in the real world are still encoded in contracts written in natural language, necessitating substantial human revision effort to eliminate possible conflicting statements, especially for long and complex contracts. We demonstrate the ConCon (Contract Conflicts) tool, to automatically read natural language contracts and indicate potential conflicts among their clauses. Using our tool, legal professionals and the general public can benefit from a ranking of potential conflicts between the clauses in a contract, saving time and effort from legal experts in contract proof-reading.",Natural Language Processing; Norms; Norm Conflicts; Semantic Representation,João Paulo,,Aires,Pontifical Catholic University of Rio Grande do Sul,Roger,,Granada,Pontifical Catholic University of Rio Grande do Sul,Felipe,,Meneguzzi,Pontifical Catholic University of Rio Grande do Sul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de018,Learning an Effective Control Policy for a Robotic Drumstick via Self-Supervision,,"We train a neural network to control a drumstick fastened to a motor. The network takes a temporally arranged sequence of desired strikes, or a rhythm, as input and outputs a sequence of motor velocities controlling the drumstick's physical movement. We use a new method of training, we call Collaborative Network Training, in which three networks work together to directly minimize a non-differentiable loss function. In this work, the goal is to minimize the difference between the input sequence and the resulting drumstick strikes on a surface produced by the network outputs. The resulting policy learned by the network works in real-time and has a precision of 10 milliseconds.",robot learning; controls,Mason,,Bretan,Samsung Research America,Siddharth,,Sanan,Samsung Research America,Larry,,Heck,Samsung Research America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
